Week,Home Team,Away Team
Week 2,County,Furness
,Grizedale,Fylde
,Lonsdale,Cartmel
,Pendle,Bowland
Week 3,Bowland,Grizedale
,Cartmel,Pendle
,Graduate,Lonsdale
,Fylde,County
Week 4,County,Bowland
,Furness,Fylde
,Grizedale,Cartmel
,Pendle,Graduate
Week 5,Bowland,Furness
,Cartmel,County
,Graduate,Grizedale
,Lonsdale,Pendle
Week 6,County,Graduate
,Furness,Cartmel
,Fylde,Bowland
,Grizedale,Lonsdale
Week 7,Cartmel,Fylde
,Graduate,Furness
,Lonsdale,County
,Pendle,Grizedale
Week 8,Bowland,Cartmel
,County,Pendle
,Furness,Lonsdale
,Fylde,Graduate
Week 9,Graduate,Bowland
,Grizedale,County
,Lonsdale,Fylde
,Pendle,Furness
Week 10,N/A,N/A
,N/A,N/A
,N/A,N/A
,N/A,N/A
Week 11,Bowland,Lonsdale
,Graduate,Cartmel
,Furness,Grizedale
,Fylde,Pendle
Week 12,Bowland,Pendle
,Cartmel,Lonsdale
,Furness,County
,Fylde,Grizedale
Week 13,County,Fylde
,Grizedale,Bowland
,Lonsdale,Graduate
,Pendle,Cartmel
Week 14,Bowland,County
,Cartmel,Grizedale
,Fylde,Furness
,Graduate,Pendle
Week 15,County,Cartmel
,Furness,Bowland
,Grizedale,Graduate
,Pendle,Lonsdale
Week 16,Bowland,Fylde
,Cartmel,Furness
,Graduate,County
,Lonsdale,Grizedale
Week 17,County,Lonsdale
,Furness,Graduate
,Fylde,Cartmel
,Grizedale,Pendle
Week 18,Cartmel,Bowland
,Graduate,Fylde
,Lonsdale,Furness
,Pendle,County
Week 19,Bowland,Graduate
,County,Grizedale
,Furness,Pendle
,Fylde,Lonsdale
Week 20,Cartmel,Graduate
,Grizedale,Furness
,Lonsdale,Bowland
,Pendle,Fylde
